"","CON_1","CON_2","PNA_1","PNA_2"
"LK433_RS04010",3.68674845705176,4.19701432608549,19.1846441260706,11.9215509614116
"LK433_RS04015",140.997283230422,139.068293885287,35.820279592034,21.9575055401609
"LK433_RS04020",110.354466147177,123.039418759666,36.7126632390702,23.3931480188237
"LK433_RS04025",71.9999259098255,78.2152768894881,74.2813380902737,72.7040399568076
"LK433_RS04030",1.715663334262,1.22070024516866,1.85994915819203,1.4447413338312
"LK433_RS04035",17.3710912594027,16.645912434118,50.2186272711849,47.6764640164295
"LK433_RS04040",62.6727731093206,59.6504950972458,83.3911270925658,66.6644929753538
"LK433_RS04045",20.940731236054,28.9212441742982,32.1711724575646,17.2862488940468
"LK433_RS04050",184.953763294861,191.634154621191,116.875310509384,148.975909443023
"LK433_RS04055",22.3268079850581,21.8106441839471,21.0201322742867,17.5711783844335
"LK433_RS04060",15.1108176891003,20.3299156859847,22.1781994257696,10.4705727193977
"LK433_RS04065",149.272665574029,176.553566249004,30.9934334058734,23.2589382393497
"LK433_RS04070",79.4397272798416,88.4686440840652,21.5061327765038,10.0827737297903
"LK433_RS04075",134.894029656349,137.047765941457,33.6590799272816,14.4194506028185
"LK433_RS04080",106.27038137729,109.612172035939,26.2682050341582,15.6959386398275
"LK433_RS04085",83.9470945332996,80.9521790673123,18.0037520593244,18.5154892397644
"LK433_RS04090",369.135689262307,404.033285692565,50.6716918097188,37.2502473906143
"LK433_RS04095",324.871893740204,302.08870036626,55.917466161822,28.4513912177252
"LK433_RS04100",286.53701027886,263.255929200648,34.4607640299601,28.8891049287672
"LK433_RS04105",102.015681396129,131.200055276185,18.3081429025951,16.8798323839987
"LK433_RS04110",136.221862778998,143.908994376746,26.9133890174534,21.1272889538068
"LK433_RS04115",65.6241225355213,59.2715543835941,36.6162858051903,14.4684277577131
"LK433_RS04120",44.1080167861701,48.2458576779027,18.4212366815135,12.0789849221952
"LK433_RS04125",41.9112043084002,54.5034732842836,22.9938769556707,20.8042752071692
"LK433_RS04130",47.5624374340017,52.1307217294544,22.6265374657122,17.3050851876148
"LK433_RS04135",49.8474792661121,53.5853633313956,56.3210022684637,42.9653509713277
"LK433_RS04140",42.3381435713041,55.6467483023393,69.7660929401837,67.8823366840376
"LK433_RS04145",32.8922863564349,36.4484433728576,51.487394545355,52.3158852092263
"LK433_RS04150",15.5111562356687,8.64376834760747,35.2896087832631,20.3629723997444
"LK433_RS04155",5.79036375313423,5.49315110325895,16.0957138689695,14.3029392049288
"LK433_RS04160",12.3269355855658,10.507391119274,29.2766082974054,16.3670245695746
"LK433_RS04165",10.4659160940271,9.66036918159332,25.4756298822655,14.4822864049906
"LK433_RS04170",12.6584601845168,5.51596529796561,22.8902294290888,13.0158726867188
"LK433_RS04175",6.27708998165856,8.56323634436889,24.364711915741,11.532804734409
"LK433_RS04180",6.92925517455815,10.7567747182959,22.0261346559712,12.631167090067
"LK433_RS04185",11.5860519786851,11.756376555539,27.5363252771866,17.3177656379678
"LK433_RS04190",45.2439602574091,49.7764477160359,53.4790923745803,51.4399703233164
"LK433_RS04195",53.7948815634531,50.7178804945454,56.7453356245764,46.2962089910611
"LK433_RS04200",147.509089593119,124.711765192251,101.120966281937,82.940937883449
"LK433_RS04205",6.75542437865661,7.5738901575237,10.3012568761405,12.5692496043314
"LK433_RS04210",14.5623941899592,12.7522369850905,21.7656179692705,19.2432147275417
"LK433_RS04215",47.8249308718945,43.6844439620847,51.1048095404726,49.7562323395796
"LK433_RS04220",56.6639058047097,53.8751358204243,70.3011256523145,58.4920199093873
"LK433_RS04225",30.7469665026568,35.1449921825798,57.7614764931374,68.220079598334
"LK433_RS04230",37.250828176662,41.2536045237272,51.6770611856782,35.883235950827
"LK433_RS04235",255.204920971472,271.661290924806,188.093319997676,111.341398793924
"LK433_RS04240",164.060306338803,174.164294117385,147.363727554169,85.6835870645784
"LK433_RS04245",5.43470994082992,6.67904312573928,7.79525753256594,6.22405334872868
"LK433_RS04250",210.75963005184,233.758341101791,178.209606767007,151.154713227192
"LK433_RS04255",84.7886892936824,105.178597150091,84.4611902278244,52.4249324357649
"LK433_RS04260",7.80146911261442,12.7440174355751,19.6960511716882,19.785884113112
"LK433_RS04265",3.3988589361027,2.84107923775943,4.88386282175585,3.17037261623196
"LK433_RS04270",6.22873027455795,4.02887507727467,18.8478081318537,8.09251044075481
"LK433_RS04275",3.83206554951949,4.957322827095,12.4630169870094,11.6169857908646
"LK433_RS04280",5.91692908107159,5.28848824546242,17.5839077414447,7.97213004864886
"LK433_RS04285",7.9201527198043,7.61119996125535,15.8515030378541,9.90893280341465
"LK433_RS04290",7.54967781382103,6.61122610657714,7.74873304842426,7.04215510331171
"LK433_RS04295",9.23064580719421,7.16469338702786,24.8248970652484,14.7687492130014
"LK433_RS04300",5.96582932141103,2.74405344368491,18.5734783069806,12.5035795437027
"LK433_RS04305",5.89879753128281,7.75811739064287,12.6257914333969,8.61000902768614
"LK433_RS04310",5.48696676718406,7.83638339206172,21.6705370404427,11.2370917925011
"LK433_RS04315",7.37785993002902,11.2522428193707,32.6409648353446,15.6955330704975
"LK433_RS04320",7.29156917061348,7.12691658290387,18.1066845400062,13.0989880934028
"LK433_RS04325",7.96864345074187,8.48941534140019,22.0465292250971,8.84181696304692
"LK433_RS04330",7.60859391716189,6.06972691075956,20.8326746849001,11.1056638183198
"LK433_RS04335",10.1900811390561,4.00742587544357,12.5086690638849,12.631167090067
"LK433_RS04340",0,2.77205398902863,1.78695272341212,1.80445244143815
"LK433_RS04345",53.918197975131,57.4526919320705,68.6286437829359,60.2199425591304
"LK433_RS04350",31.042783454303,35.2061047981596,44.4241702783559,40.7417056140397
"LK433_RS04355",14.7088550510651,6.44024612106222,34.7223399876804,18.293414406304
"LK433_RS04360",41.5670196106666,43.4910187327416,64.4007810968922,62.1594092761767
"LK433_RS04365",165.306333981883,153.776624728401,156.417739892219,206.21579435967
"LK433_RS04370",177.580090842649,151.001545100276,180.897939760696,214.90527340739
"LK433_RS04375",29.4922527159637,27.4058302315319,47.9008444740533,33.4948830835424
"LK433_RS04380",6.39414527269182,7.48809968574786,20.3185688512079,14.2829350941527
"LK433_RS04385",6.60878972530868,7.7394669896864,21.0006409504534,13.1221311819071
"LK433_RS04390",4.32479890635241,6.03259313658237,5.64502973513429,8.6138044912205
"LK433_RS04395",5.68397911724988,2.94121476394967,2.75781680148643,4.17723636049461
