"","CON_0_1","CON_0_2","CON_0_3","CON_10_1","CON_10_2","CON_10_3","CON_20_1","CON_20_2","CON_20_3","CON_30_1"
"LK433_RS11835",2.59956819574186,5.03078925008817,9.43443989095148,4.88329520192716,112.879277085686,12.3372351757601,2.9583243004132,5.64268105145913,4.039594984578,2.33317608571484
"LK433_RS11840",3.05742026209223,6.50317493730209,11.7521108809396,5.58916999276231,136.909033746145,14.4996003542547,3.58809280085894,5.25690547051236,3.5215476402901,2.43682642464493
"LK433_RS11845",3.13874619204954,4.12640166901095,5.78996905412152,3.8896859345542,111.451385842586,12.722595304583,3.84988753388843,4.15184123192875,3.6101487049675,2.54069237896246
"LK433_RS11850",49.7026703785804,53.9408690645972,53.2636832380446,52.6633022878468,136.07666451316,52.5692387556669,60.1090435929382,51.247710035046,50.3543638618824,61.8230327906711
"LK433_RS11855",116.794692325403,119.584784139317,123.527367756583,116.609702043993,192.280727682115,111.805441865561,130.169464358785,116.386180648824,126.425817065191,124.510174044744
"LK433_RS11860",152.417082873011,157.878034599969,186.318345663969,184.132008726811,171.87421367251,158.389278658705,149.43981050028,180.800460911592,187.077755181296,162.39243698037
"LK433_RS11865",159.901268162544,165.10875419308,211.473683645429,159.0052407202,159.574958015211,153.876321469603,159.018073324183,151.076201649796,147.359514520566,150.234183288837
"LK433_RS11870",135.042023666002,139.000179932921,96.2718911121621,110.281436439917,244.830337242959,112.167808844753,110.387207375999,117.985867920001,130.614368876352,119.745747369133
"LK433_RS11875",89.7785071514693,108.99412950473,96.0442979889655,87.0464564444932,142.462443469961,75.9580206900948,96.2279502260833,106.402506170765,119.824486230045,100.856165622654
"LK433_RS11880",70.1520406747163,59.9337072069157,62.5040635188377,34.2065676354871,81.7884189200219,33.1325413286177,41.8125290698213,42.0620842396623,45.8799533034879,39.5335598933218
"LK433_RS11885",2.73893898479096,2.3015351629958,5.17161604555968,1.19569308302875,124.877633810878,12.4696563046591,2.57146650728224,2.13251825690596,1.6459407449182,1.12670469096486
"LK433_RS11890",23.5902164173931,24.7229422347613,24.8809546155037,22.6795978329325,163.14658610776,37.9721146825748,25.3828629428505,29.3049283045786,18.6893916842325,22.243331318403
"LK433_RS11895",29.5699614430972,36.0195191925502,33.6361146605132,41.2283185796266,186.627365060708,38.4044007048213,28.8379484271609,25.9380117599634,25.1624074394791,27.7227381686761
"LK433_RS11900",685.662882748249,696.07728363734,663.268415682391,697.658889890644,518.412911455119,638.543821988425,644.619442857751,638.81417018495,683.123274245367,638.782143709387
"LK433_RS11905",451.30867121893,422.768994090699,351.522130639614,340.880141040667,497.458974116619,364.413235847357,408.16887870091,394.217324971635,371.883851906818,326.485218300887
"LK433_RS11910",493.21862993978,456.126693221474,411.030393638491,382.097145726647,276.878835315372,501.534666229023,461.014089792809,473.549615375382,442.354972853628,351.531863581036
"LK433_RS11915",475.022897200957,404.746701026103,411.883980223647,419.473377994529,397.569609683611,352.000583685805,405.308151836749,407.281505249818,394.813399329411,441.844773233768
"LK433_RS11920",296.311926471049,290.028899401284,281.620301158056,253.441890369516,248.991583461953,303.781325646654,301.720204586474,302.481647823736,292.233397190203,286.221577282162
"LK433_RS11925",371.912708433038,358.404391997933,386.125260264129,369.206899786258,280.185775928264,372.001609900077,344.264175831657,357.845616652363,362.995927161689,355.159108635675
"LK433_RS11930",190.480756669553,179.833588417717,195.043805146822,217.507441740049,413.555800282778,175.482072360111,235.639839940045,233.413816483161,232.526537963899,271.023692026638
"LK433_RS11935",1110.57099835822,1099.08896872712,1030.20570010256,1109.86833474692,591.433312313503,1025.17618427057,1105.25719007145,1147.49706941411,1146.43790172679,1070.40717038117
"LK433_RS11940",240.46786126966,198.995941215628,182.257646608306,214.133403003826,258.443687898692,176.633857938166,229.667134821394,221.128060573414,198.933677863392,241.574520638973
"LK433_RS11945",249.724612572765,253.308826148909,241.927799258691,239.251722708199,202.142656274944,216.140709280757,268.110132931569,236.517407754678,222.839617248925,225.249583758569
"LK433_RS11950",337.842030115802,326.667072806847,317.148618652087,323.475582120177,218.337408596737,299.458650141677,309.316707760041,320.726750488292,323.614307491481,330.744557830635
"LK433_RS11955",134.400893281855,149.915841479786,134.597290843691,114.719172980167,214.766916498688,149.776378825539,128.419399552056,128.72200577014,121.652794118532,121.200099679494
"LK433_RS11960",352.946524927625,351.185496683622,366.408996827903,337.693618974395,176.83564930719,289.088198663013,339.305005635892,254.587137903623,332.01368059575,323.33607868964
"LK433_RS11965",639.376144789233,712.151432180182,717.562224166616,699.606146375696,405.383477798462,641.838866346659,591.676422266563,559.585819474789,621.230979341175,546.090379273685
"LK433_RS11970",101.81940772193,115.496706508915,124.880346697975,96.5238824952583,259.668539500107,109.325199990468,74.5024532021003,81.1974013079737,97.3016202925932,60.8620776845721
"LK433_RS11975",31.6039587508631,26.9047676418424,29.6322717826421,36.6308454583692,177.981743869989,47.0818134169712,30.7080942206844,20.6308742993693,39.9193794103417,26.3421809918606
"LK433_RS11980",72.5951789172749,54.0302138264451,59.8645041834134,67.4579854900979,233.04140955969,50.9924197623535,52.0909210431495,48.985807726597,32.4074546669331,75.9377083949325
"LK433_RS11985",47.1782240130242,32.1639539028663,26.4121819469655,34.974022678591,57.9789014121933,25.396533340489,40.5327408210363,54.9834290572253,25.6766756207239,41.0120507511209
"LK433_RS11990",100.456846615304,90.7544405685463,101.365311727966,96.0197852548574,254.079285412991,105.974807597491,100.194592497042,110.123006496512,86.9719345047913,94.3747823972172
"LK433_RS11995",89.5898106638074,83.9222106286341,85.3904767968492,79.7742536019474,144.796423922231,87.5133714684107,81.8159832743619,109.794732898224,85.3217316845422,87.0599204290183
"LK433_RS12000",103.007614818392,105.354140630826,105.837439438513,101.365592099825,238.151185531781,121.369602005637,99.1982428690828,102.749007886,97.1394398267649,98.6070506684136
"LK433_RS12005",6.28344825922631,3.9599943245663,14.6891279277241,4.57176767040405,154.610403765849,22.4616815527062,6.55471854797434,7.06658010621778,6.15345167381183,5.02598661165697
"LK433_RS12010",0.153035272789179,0,0.16511913694378,0.133616132487454,0,0,0,0,0,0
"LK433_RS12015",0.420545749633257,0,0,0.367181340457648,0,0,0,0,0,0
"LK433_RS12020",139.048376564086,155.532190885552,135.124391653441,96.4800625616304,89.9672608120241,115.1508261513,174.638044348013,145.305381918834,80.4240701913479,135.612507717684
"LK433_RS12025",67.8391940127697,74.9573662558843,72.9936664716138,74.9384906984546,166.00274930649,84.6361514236229,63.3392802846362,59.5309307085747,83.7870467623623,59.8220890655447
"LK433_RS12030",32.3864966127143,35.8084593178868,16.5523151853324,20.8355879787351,162.834361412968,40.6988356837171,22.4045858453633,31.2618101916639,34.1445154530903,22.9056666429132
"LK433_RS12035",27.530572269806,31.9249026990809,33.2689527054561,34.3730944538729,89.6580949673093,41.6126571733829,41.2263077539927,36.0109784001233,34.4120394916919,26.6140425069405
"LK433_RS12040",62.3108619039943,42.9286341271825,66.813424687976,54.7419485404033,191.582456840291,72.3601504983405,38.5160961634231,38.9725437964987,63.2613747177256,34.7074031977653
"LK433_RS12045",131.952413443753,135.756728511414,146.804361360509,129.240355297961,229.816821887246,142.594187389749,108.682275616605,113.901563368859,135.741701433842,105.280611858687
"LK433_RS12050",110.206998532362,119.976418058642,151.812446274073,146.959308617204,246.62872892546,130.198638199574,99.9690742160962,86.6637831827143,102.42163233326,87.3951143795835
"LK433_RS12055",123.171471002839,132.87486574453,114.767540349736,145.921577767604,291.197403721915,156.823441593314,91.8360257685011,90.4882606427567,145.212659877502,104.546168698433
"LK433_RS12060",80.2851489916849,91.7737146244576,102.878219192027,97.1500629960861,442.64661270463,101.627698882972,85.6619780238396,68.0628743662485,82.7085224321396,62.8137865212909
"LK433_RS12065",198.752678953724,204.166920504279,215.233697296583,223.094767614619,232.866079442416,193.109322226251,171.11844950304,149.975464297157,220.520082972155,149.593135936465
"LK433_RS12070",324.619170479161,335.250120858384,371.685016003622,333.278808539268,396.684153982757,352.516350570821,253.844979366424,220.547032912439,342.832227942628,257.581254160715
"LK433_RS12075",256.303298964705,288.882344596714,310.653625909137,306.056198459394,261.904692586115,282.846204041543,254.752526738685,239.307767151412,262.915385426761,240.415469920364
"LK433_RS12080",275.46878839535,275.148528736148,249.789055000533,243.921388937865,234.145563395396,252.635236732393,247.439364663234,236.28302286518,248.866240631632,218.186363405345
"LK433_RS12085",619.871691148826,466.819330958091,461.012630347034,493.169047063768,295.165316280257,500.071004654116,550.060062875919,583.437608559862,720.697599808956,746.672320087371
"LK433_RS12100",220.907618118873,222.519890510272,172.879736380138,256.354092932081,218.559209511933,220.667216281402,208.450345195031,209.879990540933,242.875361019762,222.238076059739
"LK433_RS12105",189.932286696011,218.743576909331,229.401147908987,245.425013938167,204.911733758163,212.113978258541,186.424276664244,173.931694542713,193.806140644094,197.676479452076
"LK433_RS12110",143.850288639885,167.592536638999,170.327281442101,175.962430966676,270.831597397332,157.300359462929,130.612537730619,114.102441929987,147.338334552763,130.701583009474
"LK433_RS12115",256.647384758229,242.30074914473,280.834253552612,274.062347845594,285.400868199152,283.270990064932,216.21463990673,217.379800539503,270.033847580266,223.611478440489
"LK433_RS12120",133.378926021523,153.804752541173,156.059005272881,140.904350827621,189.92007705832,181.558195795836,166.693578857201,178.32463478019,164.469516813826,150.351128139727
"LK433_RS12125",129.2694366428,113.192758126984,132.592128197156,118.437103348149,132.376606764123,82.0569595411017,142.887063709957,144.747035667865,127.625954044011,160.794718573848
"LK433_RS12130",775.496650904757,858.483173298181,819.989208335149,798.876554721577,622.342336259323,729.722761608429,658.000532916171,639.742434146669,789.145535132341,650.925209169166
"LK433_RS12135",29.1066611161515,28.4951972561385,12.1961013319321,30.3478292025869,99.3924024209028,40.8265784196986,24.1432133183721,27.2826938899397,29.8881938442289,26.039397302299
"LK433_RS12140",17.8402706316238,27.0778735095258,27.0688522515874,25.2143963082953,137.261115243063,34.519340835027,20.9367836709827,17.015625841116,23.8541140944095,17.1546081653585
"LK433_RS12145",17.2245025406041,22.215568160817,30.2539538665241,25.1812963285855,181.763855927226,34.3663727756404,21.9378236402516,14.1385960432865,24.1788695428484,19.1145450822188
"LK433_RS12150",16.2908706798088,17.1548788886618,18.0222119006321,19.2649700211544,134.314057325544,30.5434361377441,18.1988343932369,16.2697145777844,27.4281090929226,18.3230894144555
"LK433_RS12155",15.7389754705741,15.3936011264139,25.8902020665907,17.3462141465476,146.207664430748,28.5055138326796,15.0188551077499,16.6068571503981,13.2311371958642,15.708549459539
"LK433_RS12160",21.6416907515731,21.8560281556609,41.7739139952006,21.6691590325843,190.101825448158,30.3721888877793,15.4718161413989,13.6037224120841,32.6128779569294,19.6021485268236
"LK433_RS12165",20.4071394210096,30.9470601245212,43.5209684618656,34.9392226560252,207.685616998901,55.3578294217582,29.3377462412917,25.6538763442717,27.3373561335071,22.5610001999769
"LK433_RS12170",255.041706063138,285.543443972321,270.686315066149,279.792181428728,370.213902595289,283.759041266756,258.30852894367,273.920991880186,295.242508666428,250.143946504625
"LK433_RS12175",164.522146506024,156.064901957112,147.39662615995,140.364754334848,234.246415755796,136.527071138649,161.265839250665,157.699189289588,140.210992501776,171.791325292742
"LK433_RS12180",31.0433976926078,28.4479226153817,34.2858363530403,28.1179404296224,169.956459288374,29.7502600989418,28.2272879529357,17.5725360254425,24.139208773869,22.0210177700935
"LK433_RS12185",16.8802000475703,22.7401680778607,27.1750756182825,23.3160151190607,257.123823654075,31.4452202465316,28.3420330259151,17.6164551657449,19.7512889390184,18.0762622159145
"LK433_RS12190",34.6932271406854,44.8799356784181,21.1789990437206,29.693044895214,78.791840380673,47.3846939577045,61.5009072991669,57.3410464634713,44.8061647227732,71.7335319914293
"LK433_RS12195",201.238650945043,138.646944149399,181.626627804133,179.866402347039,288.859169535749,183.5266201125,232.361846312053,209.900725572601,189.900413444937,330.345791445572
"LK433_RS12200",8.02856994215452,10.859212732479,14.7309100130986,18.9302052011666,138.701937783511,22.8824207494178,20.4363373185256,15.421329774217,18.0259619845382,19.9926682864617
