Bovatus_RS03050	Bovatus_00624
Bovatus_RS03055	Bovatus_00625
Bovatus_RS03060	Bovatus_00626
Bovatus_RS03065	Bovatus_00627
Bovatus_RS03070	Bovatus_00628
Bovatus_RS03075	Bovatus_00630
Bovatus_RS03080	Bovatus_00631
Bovatus_RS03085	Bovatus_00632
Bovatus_RS03090	Bovatus_00633
Bovatus_RS03095	Bovatus_00634
Bovatus_RS25615	Bovatus_00635
Bovatus_RS03105	Bovatus_00637
Bovatus_RS03110	Bovatus_00638
Bovatus_RS03115	Bovatus_00639
Bovatus_RS03120	Bovatus_00640
Bovatus_RS03125	Bovatus_00641
Bovatus_RS03130	Bovatus_00642
Bovatus_RS03135	Bovatus_00643
Bovatus_RS03140	Bovatus_00644
Bovatus_RS03145	Bovatus_00645
Bovatus_RS03150	Bovatus_00646
Bovatus_RS03155	Bovatus_00647
Bovatus_RS03160	Bovatus_00648
Bovatus_RS03165	Bovatus_00649
Bovatus_RS03170	Bovatus_00650
Bovatus_RS03175	Bovatus_00651
Bovatus_RS03180	Bovatus_00652
Bovatus_RS03185	Bovatus_00653
Bovatus_RS03190	Bovatus_00654
Bovatus_RS03195	Bovatus_00655
Bovatus_RS03200	Bovatus_00656
Bovatus_RS03205	Bovatus_00657
Bovatus_RS03210	Bovatus_00658
Bovatus_RS03215	Bovatus_00659
Bovatus_RS03220	Bovatus_00660
Bovatus_RS03225	Bovatus_00661
Bovatus_RS03230	Bovatus_00662
Bovatus_RS03235	Bovatus_00663
Bovatus_RS03240	Bovatus_00664
Bovatus_RS03245	Bovatus_00665
Bovatus_RS03250	Bovatus_00666
Bovatus_RS03255	Bovatus_00667
Bovatus_RS03260	Bovatus_00668
Bovatus_RS03265	Bovatus_00669
Bovatus_RS03270	Bovatus_00670
Bovatus_RS03275	Bovatus_00671
Bovatus_RS03280	Bovatus_00672
Bovatus_RS03285	Bovatus_00673
Bovatus_RS03290	Bovatus_00674
Bovatus_RS03295	Bovatus_00675
Bovatus_RS03300	Bovatus_00676
Bovatus_RS03305	Bovatus_00677
Bovatus_RS03310	Bovatus_00678
Bovatus_RS03315	Bovatus_00679
Bovatus_RS03320	Bovatus_00680
Bovatus_RS03325	Bovatus_00681
Bovatus_RS03330	Bovatus_00682
Bovatus_RS03335	Bovatus_00683
Bovatus_RS03340	Bovatus_00684
Bovatus_RS03345	Bovatus_00685
Bovatus_RS03350	Bovatus_00686
Bovatus_RS03355	Bovatus_00687
Bovatus_RS03360	Bovatus_00688
Bovatus_RS03365	Bovatus_00689
Bovatus_RS03370	Bovatus_00690
Bovatus_RS03375	Bovatus_00691
Bovatus_RS03380	Bovatus_00692
Bovatus_RS03385	Bovatus_00693
Bovatus_RS03390	Bovatus_00694
Bovatus_RS03395	Bovatus_00695
Bovatus_RS03400	Bovatus_00696
Bovatus_RS03405	Bovatus_00697
Bovatus_RS03410	Bovatus_00698
Bovatus_RS03415	Bovatus_00699
Bovatus_RS03420	Bovatus_00700
Bovatus_RS03425	Bovatus_00701
Bovatus_RS03430	Bovatus_00702
Bovatus_RS03435	Bovatus_00703
Bovatus_RS03440	Bovatus_00704
Bovatus_RS03445	Bovatus_00705
Bovatus_RS03450	Bovatus_00706
Bovatus_RS03455	Bovatus_00707
Bovatus_RS03460	Bovatus_00708
Bovatus_RS03465	Bovatus_00709
Bovatus_RS03470	Bovatus_00710
Bovatus_RS03475	Bovatus_00711
Bovatus_RS03480	Bovatus_00712
Bovatus_RS03485	Bovatus_00713
Bovatus_RS03490	Bovatus_00714
Bovatus_RS03495	Bovatus_00715
Bovatus_RS03500	Bovatus_00716
Bovatus_RS03505	Bovatus_00717
Bovatus_RS03510	Bovatus_00718
Bovatus_RS03515	Bovatus_00719
