"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS06435",0.0112760739646474,6.71972079100868,0.00628683105604984,0.937079511134802,0.98234090646437,"LK433_RS06435","LK433_RS06435"
"LK433_RS07175",0.00597750421283574,9.42308848534294,0.00607957216505368,0.938123184711383,0.98234090646437,"LK433_RS07175","LK433_RS07175"
"LK433_RS13300",-0.00913249155484032,7.75895386528676,0.00633831254915419,0.936822966343507,0.98234090646437,"LK433_RS13300","LK433_RS13300"
"LK433_RS01115",0.0134208396125058,5.88411041917408,0.00599239621724813,0.938567509870704,0.982435723675441,"LK433_RS01115","LK433_RS01115"
"LK433_RS00155",-0.0270252380197037,3.79627335677756,0.00575201874382716,0.939809812831388,0.982872118897357,"LK433_RS00155","LK433_RS00155"
"LK433_RS04560",0.0183649245023802,5.16932285397977,0.00570683639056683,0.940046218145978,0.982872118897357,"LK433_RS04560","LK433_RS04560"
"LK433_RS04725",0.034728891401361,2.89571966918333,0.00576173650944428,0.939759089233182,0.982872118897357,"LK433_RS04725","LK433_RS04725"
"LK433_RS10820",0.0100239159297167,7.01561345024451,0.00553957271177699,0.940929681183618,0.983425564413589,"LK433_RS10820","LK433_RS10820"
"LK433_RS07730",0.0345734036871964,2.71351603483951,0.0051083529832077,0.943271230251997,0.985003622151628,"LK433_RS07730","LK433_RS07730"
"LK433_RS13395",0.0293935360985387,3.8265832068474,0.00517820004809003,0.942889215628731,0.985003622151628,"LK433_RS13395","LK433_RS13395"
"LK433_RS14720",-0.0155075830008813,5.68472899673432,0.00506650875006121,0.943503649594285,0.985003622151628,"LK433_RS14720","LK433_RS14720"
"LK433_RS13505",-0.0121044086355658,6.37194509535787,0.00487897348188024,0.944557344137454,0.985733087061146,"LK433_RS13505","LK433_RS13505"
"LK433_RS01725",0.0221852622160042,4.19477934803773,0.00455436498264968,0.946430498629757,0.986291407055682,"LK433_RS01725","LK433_RS01725"
"LK433_RS03025",0.0144113905602321,5.9086675627502,0.00454984771881602,0.946457030785221,0.986291407055682,"LK433_RS03025","LK433_RS03025"
"LK433_RS08420",0.0155275112701465,5.30327050577144,0.00454032607148325,0.946512999569101,0.986291407055682,"LK433_RS08420","LK433_RS08420"
"LK433_RS14030",-0.0133016020684415,5.88370459285921,0.00471853719340475,0.945475047439159,0.986291407055682,"LK433_RS14030","LK433_RS14030"
"LK433_RS07585",0.00755754315635401,8.0060193531559,0.00436368600575691,0.94756219926675,0.987014338846123,"LK433_RS07585","LK433_RS07585"
"LK433_RS03970",-0.0237823828650331,4.26117490771576,0.00411152994806077,0.949098065964146,0.987947665587856,"LK433_RS03970","LK433_RS03970"
"LK433_RS06725",-0.0296128178273185,3.09164984148222,0.00409987256942212,0.949169741371408,0.987947665587856,"LK433_RS06725","LK433_RS06725"
"LK433_RS01860",-0.0124683283704914,5.48792699341482,0.00375476528909295,0.951353237813271,0.988368103781314,"LK433_RS01860","LK433_RS01860"
"LK433_RS05080",0.00518809445009454,8.59366490288491,0.00378425340457207,0.951162831385947,0.988368103781314,"LK433_RS05080","LK433_RS05080"
"LK433_RS06240",-0.0222219956830121,4.22514380290212,0.00387111722773688,0.950606234019444,0.988368103781314,"LK433_RS06240","LK433_RS06240"
"LK433_RS08955",-0.00480379790021275,10.5564063074275,0.00383311202808229,0.950848980340535,0.988368103781314,"LK433_RS08955","LK433_RS08955"
"LK433_RS14665",-0.00745249020103221,7.80253711521445,0.00395539366297619,0.950072176816828,0.988368103781314,"LK433_RS14665","LK433_RS14665"
"LK433_RS05810",0.0302334052683843,2.5214966377635,0.00361651254309935,0.95225612027227,0.988566447101343,"LK433_RS05810","LK433_RS05810"
"LK433_RS11390",0.00520050414526145,10.0511923247679,0.00365760964151206,0.951985946599175,0.988566447101343,"LK433_RS11390","LK433_RS11390"
"LK433_RS00640",0.00873385942962595,6.84332208928361,0.00318692923128306,0.955178070060125,0.98893695066025,"LK433_RS00640","LK433_RS00640"
"LK433_RS02900",0.0040003817103707,9.97033427863252,0.00344921975174514,0.953372141860939,0.98893695066025,"LK433_RS02900","LK433_RS02900"
"LK433_RS05680",-0.00805214956360062,7.44445610627414,0.00329096578537781,0.954453147819628,0.98893695066025,"LK433_RS05680","LK433_RS05680"
"LK433_RS05900",-0.0252177312923522,3.43396723524143,0.00304670683043992,0.956174185280076,0.98893695066025,"LK433_RS05900","LK433_RS05900"
"LK433_RS08280",-0.0253693340053921,3.38354452360259,0.00329924593146184,0.954395949354214,0.98893695066025,"LK433_RS08280","LK433_RS08280"
"LK433_RS09085",0.00733055667390625,7.23542870745003,0.00329490141998717,0.954425951836602,0.98893695066025,"LK433_RS09085","LK433_RS09085"
"LK433_RS10890",-0.0040611430796943,9.68203534668747,0.00309476024135506,0.955830281432442,0.98893695066025,"LK433_RS10890","LK433_RS10890"
"LK433_RS11075",-0.0172795755454486,4.71365645159399,0.00306897168602731,0.956014506694656,0.98893695066025,"LK433_RS11075","LK433_RS11075"
"LK433_RS11795",0.0190229453970145,4.0602127802458,0.00326015454650441,0.954666625694249,0.98893695066025,"LK433_RS11795","LK433_RS11795"
"LK433_RS13870",0.00698368350858795,7.0115837801367,0.0032058745862509,0.955045185256398,0.98893695066025,"LK433_RS13870","LK433_RS13870"
"LK433_RS12020",-0.0145324283077513,4.78502061977891,0.00281511560899351,0.957871127907119,0.99002962754488,"LK433_RS12020","LK433_RS12020"
"LK433_RS12075",0.00685649866256851,7.33573735639639,0.00280541817778077,0.957943683548107,0.99002962754488,"LK433_RS12075","LK433_RS12075"
"LK433_RS13390",0.0160418532711397,3.69563565735564,0.00262793250102614,0.959294546445442,0.991056903079983,"LK433_RS13390","LK433_RS13390"
"LK433_RS07450",0.0146779749854094,4.92765076581742,0.00235028271881102,0.961506515968407,0.992972701689946,"LK433_RS07450","LK433_RS07450"
"LK433_RS14880",0.00856576784164466,6.00176807921776,0.00211349609043043,0.963492331819212,0.994653607978421,"LK433_RS14880","LK433_RS14880"
"LK433_RS00200",0.0100383453110414,4.82910442236511,0.00143091495606023,0.969957190729866,0.995103078376243,"LK433_RS00200","LK433_RS00200"
"LK433_RS01225",0.00347853011200809,9.06477769085553,0.00139694322638396,0.970315789084933,0.995103078376243,"LK433_RS01225","LK433_RS01225"
"LK433_RS03240",-0.00390912680841364,8.50998400697677,0.00170886799369346,0.967170261722716,0.995103078376243,"LK433_RS03240","LK433_RS03240"
"LK433_RS04215",-0.00636618881268414,6.88909442698882,0.00185625949828347,0.965784597399362,0.995103078376243,"LK433_RS04215","LK433_RS04215"
