"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS04050",-0.146786287398201,8.17064421460036,1.36475908263966,0.247568220767465,0.445347244992482,"LK433_RS04050","LK433_RS04050"
"LK433_RS09445",-0.706821612823983,2.12781610591421,1.36098095638345,0.248216063975424,0.446146284569419,"LK433_RS09445","LK433_RS09445"
"LK433_RS03905",-0.269823414404921,5.36786632471959,1.3557905410961,0.249109532358416,0.447462594669677,"LK433_RS03905","LK433_RS03905"
"LK433_RS04720",0.475508465262661,3.41168789749956,1.35209495076093,0.249748135388622,0.44774084698141,"LK433_RS04720","LK433_RS04720"
"LK433_RS05920",-0.465014685030319,3.30463079480454,1.35221559925837,0.249727254860346,0.44774084698141,"LK433_RS05920","LK433_RS05920"
"LK433_RS11630",0.1551564253141,7.54841012315071,1.35291871644704,0.249605610423345,0.44774084698141,"LK433_RS11630","LK433_RS11630"
"LK433_RS05760",0.693175519445928,1.94557325700342,1.35091367936766,0.249952692388585,0.44781846887942,"LK433_RS05760","LK433_RS05760"
"LK433_RS03395",-0.18195879652193,6.33495480161096,1.34826777599961,0.25041163613556,0.448351459412282,"LK433_RS03395","LK433_RS03395"
"LK433_RS13500",0.115006310302106,8.24126739604138,1.34382094514482,0.251185337187209,0.449157554004431,"LK433_RS13500","LK433_RS13500"
"LK433_RS14040",0.231328798312167,6.16836570778869,1.34393789195255,0.251164951401781,0.449157554004431,"LK433_RS14040","LK433_RS14040"
"LK433_RS03290",-0.211608860077718,6.37477364467401,1.34177019412078,0.251543154431981,0.449264771623881,"LK433_RS03290","LK433_RS03290"
"LK433_RS10795",0.131980783939074,7.54108011336291,1.34162301795306,0.251568858435411,0.449264771623881,"LK433_RS10795","LK433_RS10795"
"LK433_RS03120",0.235833113931411,5.83260847857109,1.33977653994167,0.251891621678727,0.449552078021738,"LK433_RS03120","LK433_RS03120"
"LK433_RS03250",-0.273693659020839,5.40746601136039,1.33843463443627,0.252126511584676,0.449682288163549,"LK433_RS03250","LK433_RS03250"
