"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS00900",0.332473279671458,10.3653082259361,21.4799180869283,2.11986082957222e-05,0.00047474625191307,"LK433_RS00900","LK433_RS00900"
"LK433_RS02720",0.55011484213091,7.23758635882216,21.1940513451919,2.36263846669606e-05,0.000524883761761196,"LK433_RS02720","LK433_RS02720"
"LK433_RS10985",0.600325220609824,8.00012018933455,21.0257454525128,2.54677790673622e-05,0.000561301765635436,"LK433_RS10985","LK433_RS10985"
"LK433_RS14900",-1.30963208029545,4.41334833712018,20.6113452245728,2.95117502634296e-05,0.000645308114027906,"LK433_RS14900","LK433_RS14900"
"LK433_RS10380",0.329366608801481,9.54148992970596,20.3449956616262,3.26907913603059e-05,0.000709236934434137,"LK433_RS10380","LK433_RS10380"
"LK433_RS02965",0.739795699434854,6.09811460658611,20.2741167910638,3.359529741655e-05,0.000723210394773327,"LK433_RS02965","LK433_RS02965"
"LK433_RS13825",-0.523376389875234,7.8746240983833,20.0698215285205,3.63506978506467e-05,0.000776506830240354,"LK433_RS13825","LK433_RS13825"
"LK433_RS10000",0.332136453628785,10.2495910658256,20.0386322062174,3.67915773547545e-05,0.00077992526957369,"LK433_RS10000","LK433_RS10000"
"LK433_RS02375",0.329105914991664,9.70747221602625,19.8388931966443,3.97498933818346e-05,0.000836253438798141,"LK433_RS02375","LK433_RS02375"
"LK433_RS07165",0.54573578068742,7.8346688569473,19.7462000636901,4.12056919585235e-05,0.00086036245540466,"LK433_RS07165","LK433_RS07165"
"LK433_RS00740",0.349657013011982,9.12752748684252,19.6518676516995,4.27441910321194e-05,0.000885197524307946,"LK433_RS00740","LK433_RS00740"
"LK433_RS02590",0.333875831509969,9.50765502162217,19.5967770356287,4.36701695463409e-05,0.000885197524307946,"LK433_RS02590","LK433_RS02590"
"LK433_RS04505",0.380625314780469,8.72494103403551,19.5985991933894,4.36392113657056e-05,0.000885197524307946,"LK433_RS04505","LK433_RS04505"
"LK433_RS08695",-0.446213115290124,9.30435577581363,19.6825750279444,4.33326738424671e-05,0.000885197524307946,"LK433_RS08695","LK433_RS08695"
"LK433_RS03170",0.782739480624003,6.8384149921248,19.5025024436086,4.61365584644107e-05,0.00092841465837441,"LK433_RS03170","LK433_RS03170"
"LK433_RS05610",-0.452160086789527,8.54942516957905,19.4126580495133,4.69190064247466e-05,0.000937367488068498,"LK433_RS05610","LK433_RS05610"
"LK433_RS00435",-0.30670958145957,11.3210229949684,19.3911129361892,4.73152577826969e-05,0.000938531934732494,"LK433_RS00435","LK433_RS00435"
"LK433_RS06565",0.349498594289838,9.34514528073211,19.2966447874233,4.90941673892611e-05,0.00096691136765942,"LK433_RS06565","LK433_RS06565"
"LK433_RS09265",1.59153987389693,4.23498179060245,19.259452912481,4.98134558739815e-05,0.000968044753681767,"LK433_RS09265","LK433_RS09265"
"LK433_RS10710",-0.490251214509809,8.1381550222887,19.2576345894814,4.98489016119887e-05,0.000968044753681767,"LK433_RS10710","LK433_RS10710"
"LK433_RS04515",0.405588842602947,8.76945393208188,19.1479250804435,5.20367720131994e-05,0.00100351469361566,"LK433_RS04515","LK433_RS04515"
"LK433_RS00450",-0.31357867030091,10.9757857566251,19.0816620061179,5.34063268590235e-05,0.001004278893333,"LK433_RS00450","LK433_RS00450"
